Run Directory,Fitness,Model,ofv,success,covar,correlation #,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran messages
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5S10\146,99999999.000000,21010112011100000,99999999,False,False,False,15,3,2,99999999,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5S10\147,99999999.000000,21010112000100000,99999999,False,False,False,13,3,2,99999999,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5S10\148,99999999.000000,21010112001000000,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5S10\149,99999999.000000,21010112001110000,99999999,False,False,False,14,2,2,99999999,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5S10\150,99999999.000000,21010112001101000,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5S10\152,99999999.000000,21010112001100200,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5S10\151,99999999.000000,21010112001100400,99999999,False,False,False,14,6,2,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5S10\154,99999999.000000,21010112001100020,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\0\1,99999999.000000,21010012001100000,99999999,False,False,False,13,3,2,99999999,99999999,0,From NM_0_1: No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5S10\153,99999999.000000,21010112001100100,99999999,False,False,False,14,4,2,99999999,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5D0\9,99999999.000000,21010002001100000,99999999,False,False,False,0,0,0,99999999,0,0,From NM_5D0_9: 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5S10\155,99999999.000000,21010112001100010,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5S10\156,99999999.000000,21010112001100001,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5S10\158,99999999.000000,21010000001100000,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5S10\160,99999999.000000,21010002101100000,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5S10\161,99999999.000000,21010002011100000,99999999,False,False,False,13,3,2,99999999,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5S10\162,99999999.000000,21010002000100000,99999999,False,False,False,0,0,0,99999999,0,0,
