Model num,Fitness,Model,generation,ofv,success,covar,correlation #,ntheta,condition,RPenalty,PythonPenalty,NMTran messages
9,5846.422780,110001,0,5666.422779565473,True,True,True,5,40564276.614498354,0,0,No important warnings
9,5846.422780,110001,0,5666.422779565473,True,True,True,5,40564276.614498354,0,0,No important warnings
11,4882.221009,100100,0,4792.221009000265,True,True,True,4,5.793908200221528,0,0,No important warnings
11,4882.221009,100100,0,4792.221009000265,True,True,True,4,5.793908200221528,0,0,No important warnings
0,4985.430436,111000,1,4785.430436442369,True,True,True,6,55540647.48149684,0,0,No important warnings
4,4985.430436,111000,1,4785.430436442369,True,True,True,6,55540647.48149684,0,,From saved model No important warnings
5,4985.430436,111000,1,4785.430436442369,True,True,True,6,55540647.48149684,0,,From saved model No important warnings
2,4936.178800,111010,1,4726.178799521327,True,True,True,7,2103442.079380313,0,0,No important warnings
7,4936.178800,111010,1,4726.178799521327,True,True,True,7,2103442.079380313,0,,From saved model No important warnings
8,4985.430436,111000,1,4785.430436442369,True,True,True,6,55540647.48149684,0,,From saved model No important warnings
9,4936.178800,111010,1,4726.178799521327,True,True,True,7,2103442.079380313,0,,From saved model No important warnings
10,4985.430436,111000,1,4785.430436442369,True,True,True,6,55540647.48149684,0,,From saved model No important warnings
11,4985.430436,111000,1,4785.430436442369,True,True,True,6,55540647.48149684,0,,From saved model No important warnings
11,4985.430436,111000,1,4785.430436442369,True,True,True,6,55540647.48149684,0,,From saved model No important warnings
1,4985.430436,111000,1,4785.430436442369,True,True,True,6,55540647.48149684,0,0,No important warnings
1,4985.430436,111000,1,4785.430436442369,True,True,True,6,55540647.48149684,0,0,No important warnings
3,4936.178800,111010,1,4726.178799521327,True,True,True,7,2103442.079380313,0,0,No important warnings
3,4936.178800,111010,1,4726.178799521327,True,True,True,7,2103442.079380313,0,0,No important warnings
6,4936.178800,111010,1,4726.178799521327,True,True,True,7,2103442.079380313,0,0,No important warnings
6,4936.178800,111010,1,4726.178799521327,True,True,True,7,2103442.079380313,0,0,No important warnings
3,5772.632008,100101,2,5692.632008303359,True,True,True,4,28.173565509888746,0,0,No important warnings
0,5739.872187,101101,2,5649.872186581825,True,True,True,5,25.83500162734159,0,0,No important warnings
1,5772.632008,100101,2,5692.632008303359,True,True,True,4,28.173565509888746,0,0,No important warnings
5,5772.632008,100101,2,5692.632008303359,True,True,True,4,28.173565509888746,0,,From saved model No important warnings
6,5772.632008,100101,2,5692.632008303359,True,True,True,4,28.173565509888746,0,,From saved model No important warnings
8,5739.872187,101101,2,5649.872186581825,True,True,True,5,25.83500162734159,0,,From saved model No important warnings
2,5772.632008,100101,2,5692.632008303359,True,True,True,4,28.173565509888746,0,0,No important warnings
4,5739.283750,101001,2,5659.283749649409,True,True,True,5,19.262658862117714,0,0,No important warnings
9,5739.283750,101001,2,5659.283749649409,True,True,True,5,19.262658862117714,0,0,No important warnings
9,5739.283750,101001,2,5659.283749649409,True,True,True,5,19.262658862117714,0,0,No important warnings
11,5739.872187,101101,2,5649.872186581825,True,True,True,5,25.83500162734159,0,,From saved model No important warnings
11,5739.872187,101101,2,5649.872186581825,True,True,True,5,25.83500162734159,0,,From saved model No important warnings
7,5739.283750,101001,2,5659.283749649409,True,True,True,5,19.262658862117714,0,0,No important warnings
7,5739.283750,101001,2,5659.283749649409,True,True,True,5,19.262658862117714,0,0,No important warnings
10,5739.283750,101001,2,5659.283749649409,True,True,True,5,19.262658862117714,0,0,No important warnings
10,5739.283750,101001,2,5659.283749649409,True,True,True,5,19.262658862117714,0,0,No important warnings
2,4822.599672,100010,3,4732.599671912545,True,True,True,5,51.71855336223912,0,0,No important warnings
0,4822.599672,100010,3,4732.599671912545,True,True,True,5,51.71855336223912,0,0,No important warnings
1,4822.599672,100010,3,4732.599671912545,True,True,True,5,51.71855336223912,0,0,No important warnings
4,4822.599672,100010,3,4732.599671912545,True,True,True,5,51.71855336223912,0,,From saved model No important warnings
3,4822.599672,100010,3,4732.599671912545,True,True,True,5,51.71855336223912,0,0,No important warnings
6,4822.599672,100010,3,4732.599671912545,True,True,True,5,51.71855336223912,0,,From saved model No important warnings
7,4822.599672,100010,3,4732.599671912545,True,True,True,5,51.71855336223912,0,,From saved model No important warnings
8,4822.599672,100010,3,4732.599671912545,True,True,True,5,51.71855336223912,0,,From saved model No important warnings
9,4822.599672,100010,3,4732.599671912545,True,True,True,5,51.71855336223912,0,,From saved model No important warnings
9,4822.599672,100010,3,4732.599671912545,True,True,True,5,51.71855336223912,0,,From saved model No important warnings
10,4822.599672,100010,3,4732.599671912545,True,True,True,5,51.71855336223912,0,,From saved model No important warnings
10,4822.599672,100010,3,4732.599671912545,True,True,True,5,51.71855336223912,0,,From saved model No important warnings
11,4822.599672,100010,3,4732.599671912545,True,True,True,5,51.71855336223912,0,,From saved model No important warnings
11,4822.599672,100010,3,4732.599671912545,True,True,True,5,51.71855336223912,0,,From saved model No important warnings
5,4832.578000,100110,3,4732.577999788176,True,True,True,5,53.65368149005296,0,0,No important warnings
5,4832.578000,100110,3,4732.577999788176,True,True,True,5,53.65368149005296,0,0,No important warnings
3,4885.430743,011100,4,4785.430742602432,True,True,True,5,8.022554959221322,0,0,No important warnings
0,4836.178086,011110,4,4726.178086012689,True,True,True,6,58.99736007089474,0,0,No important warnings
2,4885.430743,011100,4,4785.430742602432,True,True,True,5,8.022554959221322,0,0,No important warnings
